iter	Passed	Remaining
0	143	143397
1	144	71969
2	144	48141
3	145	36220
4	146	29075
5	146	24308
6	147	20906
7	148	18356
8	148	16372
9	149	14787
10	150	13491
11	150	12410
12	151	11495
13	152	10712
14	152	10034
15	153	9438
16	154	8914
17	154	8450
18	155	8035
19	156	7666
20	157	7327
21	157	7020
22	158	6738
23	159	6480
24	160	6244
25	160	6025
26	161	5824
27	162	5635
28	163	5460
29	163	5297
30	164	5146
31	165	5003
32	166	4870
33	167	4745
34	167	4627
35	168	4516
36	169	4411
37	170	4315
38	171	4222
39	172	4132
40	173	4046
41	173	3965
42	174	3888
43	175	3814
44	176	3744
45	177	3678
46	178	3614
47	179	3554
48	180	3496
49	181	3440
50	182	3386
51	182	3334
52	183	3285
53	184	3240
54	185	3194
55	186	3150
56	187	3107
57	188	3066
58	189	3026
59	190	2987
60	191	2949
61	192	2913
62	193	2878
63	194	2844
64	195	2811
65	196	2778
66	197	2747
67	197	2711
68	198	2683
69	199	2656
70	200	2628
71	201	2601
72	202	2574
73	203	2549
74	204	2524
75	205	2500
76	206	2476
77	207	2452
78	208	2430
79	209	2407
80	210	2385
81	211	2364
82	212	2343
83	213	2324
84	213	2301
85	214	2282
86	215	2260
87	216	2241
88	217	2223
89	218	2206
90	219	2188
91	219	2171
92	220	2154
93	221	2138
94	222	2122
95	223	2106
96	224	2091
97	225	2075
98	226	2061
99	227	2047
100	228	2034
101	229	2016
102	229	2002
103	230	1988
104	231	1975
105	232	1962
106	233	1949
107	234	1936
108	235	1923
109	236	1911
110	237	1898
111	237	1886
112	238	1875
113	239	1863
114	240	1852
115	241	1839
116	242	1829
117	243	1819
118	244	1807
119	245	1797
120	246	1787
121	247	1777
122	247	1764
123	248	1754
124	249	1744
125	250	1735
126	251	1725
127	251	1714
128	252	1705
129	253	1696
130	254	1688
131	255	1679
132	256	1671
133	257	1662
134	258	1654
135	259	1645
136	259	1637
137	260	1628
138	261	1621
139	262	1613
140	263	1605
141	264	1598
142	265	1590
143	266	1582
144	267	1575
145	268	1567
146	268	1560
147	270	1554
148	270	1547
149	271	1540
150	272	1533
151	273	1526
152	274	1520
153	275	1513
154	276	1506
155	277	1499
156	278	1493
157	279	1487
158	279	1480
159	280	1474
160	281	1467
161	282	1461
162	283	1455
163	284	1449
164	285	1443
165	286	1437
166	287	1432
167	287	1426
168	288	1420
169	289	1414
170	290	1409
171	291	1403
172	292	1397
173	293	1392
174	294	1387
175	295	1381
176	296	1376
177	296	1371
178	297	1366
179	298	1361
180	299	1354
181	300	1349
182	301	1344
183	302	1339
184	302	1334
185	303	1329
186	304	1324
187	305	1319
188	306	1314
189	307	1310
190	308	1305
191	309	1300
192	309	1296
193	310	1291
194	311	1287
195	313	1284
196	314	1281
197	315	1278
198	316	1275
199	318	1272
200	319	1268
201	320	1264
202	321	1260
203	321	1256
204	322	1252
205	323	1247
206	324	1244
207	325	1240
208	327	1237
209	328	1234
210	329	1230
211	330	1227
212	331	1224
213	332	1221
214	333	1217
215	334	1214
216	335	1210
217	336	1207
218	337	1203
219	338	1200
220	339	1197
221	340	1193
222	341	1190
223	342	1187
224	343	1183
225	344	1180
226	345	1176
227	346	1173
228	347	1170
229	348	1167
230	349	1165
231	350	1161
232	351	1158
233	352	1155
234	353	1152
235	354	1148
236	355	1145
237	356	1142
238	357	1138
239	358	1135
240	359	1131
241	360	1128
242	361	1125
243	362	1121
244	363	1118
245	363	1115
246	364	1112
247	365	1109
248	366	1105
249	367	1102
250	368	1099
251	369	1096
252	370	1093
253	371	1090
254	372	1087
255	372	1083
256	373	1080
257	374	1077
258	375	1074
259	376	1071
260	377	1068
261	378	1065
262	379	1062
263	379	1059
264	380	1056
265	381	1053
